date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,28.27,1,9.0,14.0,0.643,2.0,5.0,0.4,2.0,3.0,0.667,0.0,4.0,4.0,4.0,1.0,0.0,1.0,3.0,22.0,5.0,0.718,0.714,0.357,0.214,0.0,15.1,7.5,22.1,1.6,0.0,6.1,23.1,137.0,103.0,9.2,"julius randle,rj barrett,reggie bullock,elfrid payton,mitchell robinson,alec burks,obi toppin,kevin knox,immanuel quickley,nerlens noel,frank ntilikina,theo pinson","domantas sabonis,malcolm brogdon,myles turner,t.j. warren,doug mcdermott,justin holiday,t.j. mcconnell,aaron holiday"
2020-12-26,25.05,0,8.0,12.0,0.667,5.0,5.0,1.0,1.0,1.0,1.0,0.0,7.0,7.0,1.0,2.0,0.0,2.0,2.0,22.0,8.0,0.884,0.875,0.417,0.083,0.0,25.3,14.9,5.2,3.6,0.0,13.9,23.6,137.0,95.0,11.8,"zach lavine,wendell carter jr.,lauri markkanen,coby white,patrick williams,garrett temple,otto porter jr.,denzel valentine,daniel gafford,ryan arcidiacono,chandler hutchison,adam mokoka","domantas sabonis,malcolm brogdon,t.j. warren,myles turner,justin holiday,doug mcdermott,t.j. mcconnell,aaron holiday,kelan martin,cassius stanley,jalen lecque"
2020-12-29,34.42,1,10.0,18.0,0.556,2.0,6.0,0.333,2.0,2.0,1.0,0.0,6.0,6.0,6.0,0.0,1.0,2.0,3.0,24.0,5.0,0.636,0.611,0.333,0.111,0.0,19.0,10.6,28.8,0.0,2.4,9.6,27.7,120.0,120.0,3.3,"jayson tatum,jaylen brown,marcus smart,tristan thompson,daniel theis,payton pritchard,javonte green,robert williams,grant williams","domantas sabonis,malcolm brogdon,myles turner,t.j. warren,justin holiday,doug mcdermott,aaron holiday,t.j. mcconnell"
2020-12-31,34.2,1,5.0,14.0,0.357,4.0,8.0,0.5,2.0,2.0,1.0,0.0,4.0,4.0,8.0,1.0,0.0,3.0,1.0,16.0,21.0,0.538,0.5,0.571,0.143,0.0,12.2,6.5,32.1,1.4,0.0,16.8,22.5,109.0,104.0,1.4,"darius garland,collin sexton,larry nance jr.,andre drummond,cedi osman,javale mcgee,dean wade,marques bolden,lamar stevens","domantas sabonis,malcolm brogdon,myles turner,aaron holiday,doug mcdermott,justin holiday,kelan martin,t.j. mcconnell,edmond sumner,jalen lecque,cassius stanley"
2021-01-02,37.37,1,3.0,16.0,0.188,2.0,9.0,0.222,8.0,11.0,0.727,1.0,6.0,7.0,3.0,1.0,1.0,1.0,3.0,16.0,-12.0,0.384,0.25,0.563,0.688,2.8,20.8,10.8,12.8,1.4,2.3,4.6,28.1,86.0,113.0,-6.4,"rj barrett,julius randle,elfrid payton,reggie bullock,mitchell robinson,austin rivers,nerlens noel,kevin knox,immanuel quickley","malcolm brogdon,domantas sabonis,myles turner,aaron holiday,justin holiday,doug mcdermott,t.j. mcconnell,kelan martin"
2021-01-04,35.97,0,8.0,17.0,0.471,5.0,11.0,0.455,4.0,6.0,0.667,0.0,5.0,5.0,6.0,2.0,0.0,2.0,1.0,25.0,8.0,0.636,0.618,0.647,0.353,0.0,13.9,7.4,26.6,2.7,0.0,9.2,28.3,119.0,107.0,7.1,"brandon ingram,lonzo ball,zion williamson,steven adams,josh hart,jaxson hayes,nickeil alexander-walker","malcolm brogdon,domantas sabonis,myles turner,aaron holiday,justin holiday,doug mcdermott,t.j. mcconnell"
2021-01-06,35.92,1,6.0,20.0,0.3,1.0,7.0,0.143,5.0,8.0,0.625,0.0,9.0,9.0,2.0,1.0,0.0,2.0,4.0,18.0,-10.0,0.383,0.325,0.35,0.4,0.0,33.4,15.6,7.9,1.3,0.0,7.8,31.2,77.0,109.0,-12.0,"james harden,david nwaba,john wall,p.j. tucker,demarcus cousins,eric gordon,jae'sean tate,sterling brown","malcolm brogdon,domantas sabonis,myles turner,aaron holiday,justin holiday,t.j. mcconnell,doug mcdermott"
2021-01-09,30.92,1,7.0,21.0,0.333,2.0,7.0,0.286,0.0,0.0,0.0,0.0,6.0,6.0,4.0,1.0,0.0,2.0,5.0,16.0,1.0,0.381,0.381,0.333,0.0,0.0,21.7,10.1,18.7,1.6,0.0,8.7,31.7,83.0,126.0,-10.6,"devin booker,mikal bridges,deandre ayton,chris paul,jae crowder,cameron johnson,dario saric,jevon carter,langston galloway","domantas sabonis,malcolm brogdon,myles turner,aaron holiday,justin holiday,doug mcdermott,edmond sumner,cassius stanley"
2021-01-11,37.42,0,8.0,20.0,0.4,2.0,11.0,0.182,3.0,4.0,0.75,0.0,3.0,3.0,4.0,6.0,0.0,3.0,1.0,21.0,-4.0,0.483,0.45,0.55,0.2,0.0,11.3,4.8,14.0,7.4,0.0,12.1,27.2,94.0,113.0,-0.5,"de'aaron fox,harrison barnes,richaun holmes,buddy hield,marvin bagley iii,tyrese haliburton,cory joseph","domantas sabonis,malcolm brogdon,justin holiday,myles turner,doug mcdermott,aaron holiday,edmond sumner"
2021-01-18,32.07,0,13.0,23.0,0.565,4.0,9.0,0.444,2.0,4.0,0.5,0.0,5.0,5.0,9.0,2.0,0.0,7.0,3.0,32.0,3.0,0.646,0.652,0.391,0.174,0.0,17.0,9.0,50.8,2.8,0.0,22.0,42.3,107.0,114.0,3.2,"zach lavine,lauri markkanen,garrett temple,coby white,wendell carter jr.,thaddeus young,denzel valentine,ryan arcidiacono,daniel gafford,adam mokoka","eric gordon,p.j. tucker,christian wood,david nwaba,jae'sean tate,demarcus cousins,mason jones"
